cid,ts,acx,acy,acz,Date,Date Time,gyx,gyY,gyz,Time
ch010,1.657E+12,-14488,5216,-3592,7/5/2022,"07/05/2022, 10:34:45",-784,-298,-9,10:34:45
ch010,1.657E+12,-10872,4696,-4136,7/5/2022,"07/05/2022, 10:34:45",-800,-8037,-9963,10:34:45
ch010,1.657E+12,-17732,7388,3132,7/5/2022,"07/05/2022, 10:34:45",-736,12377,13105,10:34:45
ch010,1.657E+12,-7392,1732,-1628,7/5/2022,"07/05/2022, 10:34:45",-784,-16560,-17991,10:34:45
ch010,1.657E+12,-10244,7420,4336,7/5/2022,"07/05/2022, 10:34:45",-736,-14899,-14411,10:34:45
ch010,1.657E+12,-5240,-1656,2112,7/5/2022,"07/05/2022, 10:34:45",-752,-371,18364,10:34:45
ch010,1.657E+12,5968,9696,-8944,7/5/2022,"07/05/2022, 10:34:45",-752,11237,22014,10:34:45
ch010,1.657E+12,888,7536,-1692,7/5/2022,"07/05/2022, 10:34:45",-688,14121,-8785,10:34:45
ch010,1.657E+12,-5788,16644,-424,7/5/2022,"07/05/2022, 10:34:45",-704,-32058,-9021,10:34:45
ch010,1.657E+12,-84,14320,528,7/5/2022,"07/05/2022, 10:34:45",-688,-25099,-13710,10:34:45
ch010,1.657E+12,-1240,16484,11732,7/5/2022,"07/05/2022, 10:34:45",-688,-2402,-27536,10:34:45
ch010,1.657E+12,-1232,14204,3188,7/5/2022,"07/05/2022, 10:34:45",-672,-5441,-14060,10:34:45
ch010,1.657E+12,-1716,8968,-740,7/5/2022,"07/05/2022, 10:34:45",-656,1584,26979,10:34:45
ch010,1.657E+12,2304,13484,-3972,7/5/2022,"07/05/2022, 10:34:45",-656,-1849,-1158,10:34:45
ch010,1.657E+12,4044,21192,-7272,7/5/2022,"07/05/2022, 10:34:45",-672,3970,-2816,10:34:45
ch010,1.657E+12,-1424,21996,-176,7/5/2022,"07/05/2022, 10:34:45",-624,-2096,3106,10:34:45
ch010,1.657E+12,3792,13536,-3676,7/5/2022,"07/05/2022, 10:34:45",-624,3734,2512,10:34:45
ch010,1.657E+12,-912,16040,-4396,7/5/2022,"07/05/2022, 10:34:45",-608,5508,-3711,10:34:45
ch010,1.657E+12,-5864,10540,7852,7/5/2022,"07/05/2022, 10:34:45",-576,-378,1688,10:34:45
ch010,1.657E+12,-3412,10148,10104,7/5/2022,"07/05/2022, 10:34:45",-576,-144,-122,10:34:45
ch010,1.657E+12,-3656,10532,10208,7/5/2022,"07/05/2022, 10:34:45",-576,578,-35,10:34:45
ch010,1.657E+12,-3972,10388,9216,7/5/2022,"07/05/2022, 10:34:45",-592,179,467,10:34:45
ch010,1.657E+12,-4068,10416,9528,7/5/2022,"07/05/2022, 10:34:45",-560,-193,-178,10:34:45
ch010,1.657E+12,-4152,10388,9644,7/5/2022,"07/05/2022, 10:34:45",-576,-289,-304,10:34:45
ch010,1.657E+12,-4060,10356,9628,7/5/2022,"07/05/2022, 10:34:45",-544,-247,-117,10:34:45
ch010,1.657E+12,-4248,10356,9428,7/5/2022,"07/05/2022, 10:34:45",-560,-192,-84,10:34:45
ch010,1.657E+12,-3984,10336,9388,7/5/2022,"07/05/2022, 10:34:45",-544,-190,-173,10:34:45
ch010,1.657E+12,-11652,13052,-1516,7/5/2022,"07/05/2022, 10:34:45",-544,-19518,-23960,10:34:45
ch010,1.657E+12,-900,5796,-1164,7/5/2022,"07/05/2022, 10:34:45",-512,14658,17527,10:34:45
ch010,1.657E+12,-7536,10964,-2308,7/5/2022,"07/05/2022, 10:34:45",-528,18701,-9937,10:34:45
ch010,1.657E+12,-10108,7120,-1304,7/5/2022,"07/05/2022, 10:34:45",-512,-30869,28870,10:34:45
ch010,1.657E+12,-9040,9864,-17724,7/5/2022,"07/05/2022, 10:34:45",-496,10577,-25273,10:34:45
ch010,1.657E+12,-2736,13484,7424,7/5/2022,"07/05/2022, 10:34:45",-528,3827,-7481,10:34:45
ch010,1.657E+12,-13928,6160,-16076,7/5/2022,"07/05/2022, 10:34:45",-480,-32768,2996,10:34:45
ch010,1.657E+12,-6772,11732,5016,7/5/2022,"07/05/2022, 10:34:45",-464,24959,-13950,10:34:45
ch010,1.657E+12,-9668,6612,8244,7/5/2022,"07/05/2022, 10:34:45",-496,-1173,-1069,10:34:45
c0019,1.65337E+12,-2868,5204,12568,5/24/2022,"05/24/2022, 09:43:52",-1392,-317,-199,9:43:52
c0019,1.65337E+12,-2836,5136,12532,5/24/2022,"05/24/2022, 09:43:52",-1392,-334,-166,9:43:52
c0019,1.65337E+12,-2880,5224,12584,5/24/2022,"05/24/2022, 09:43:52",-1408,-339,-172,9:43:52
c0019,1.65337E+12,-2820,5124,12488,5/24/2022,"05/24/2022, 09:43:52",-1424,-329,-146,9:43:52
c0019,1.65337E+12,-2940,5252,12540,5/24/2022,"05/24/2022, 09:43:52",-1408,-334,-161,9:43:52
c0019,1.65337E+12,-2848,5208,12588,5/24/2022,"05/24/2022, 09:43:52",-1408,-348,-168,9:43:52
c0019,1.65337E+12,-2860,5168,12536,5/24/2022,"05/24/2022, 09:43:52",-1424,-328,-156,9:43:52
c0019,1.65337E+12,-2864,5212,12516,5/24/2022,"05/24/2022, 09:43:52",-1424,-325,-142,9:43:52
c0019,1.65337E+12,-2856,5220,12672,5/24/2022,"05/24/2022, 09:43:52",-1424,-321,-168,9:43:52
c0019,1.65337E+12,-2832,5240,12560,5/24/2022,"05/24/2022, 09:43:52",-1392,-301,-170,9:43:52
c0019,1.65337E+12,-2924,5280,12572,5/24/2022,"05/24/2022, 09:43:52",-1408,-316,-127,9:43:52
c0019,1.65337E+12,-2828,5188,12604,5/24/2022,"05/24/2022, 09:43:52",-1408,-312,-156,9:43:52
c0019,1.65337E+12,-2804,5188,12496,5/24/2022,"05/24/2022, 09:43:52",-1392,-325,-154,9:43:52
