acx,acy,acz,gyx,gyY,gyz,cluster
-2108,-1760,-19484,-1984,-32768,-2270,1
3248,10544,-5236,-1968,-10003,-6743,1
-19488,10496,2264,-1968,16930,9487,0
-17708,3568,-20556,-1936,32767,-32768,0
-8564,1224,-11920,-1984,1418,1166,0
-9480,12132,-7240,-1936,12273,8646,0
-4504,-11844,-14052,-1072,-108,-4512,1
-3952,-14652,5192,-1024,-4911,-1858,0
-2308,-16212,5948,-1056,-190,-2233,0
-6200,-15344,-524,-1040,-3522,-3549,0
-6424,-14680,-7424,-1040,-1287,-5663,0
-5628,-15420,4736,-1008,-2508,-2539,0
-3232,-15528,-1356,-1040,3151,-1920,0
-60,-15772,3084,-1024,-572,-1286,1
4604,-15616,-2840,-1008,-384,-1807,1
5524,-20332,-7132,-976,-825,-4586,1
5644,-14240,-8196,-992,17343,-558,1
19640,-464,-4392,-992,-857,-1841,1
16384,-3100,-8740,-992,1075,-4983,1
15704,-2880,-6920,-992,1534,-2547,1
17168,-3484,-7960,-928,2707,720,1
16656,656,-3756,-928,5443,-873,1
18848,2052,-3240,-960,2497,-3298,1
11708,396,-11528,-960,113,-1960,1
12076,1420,-12964,-928,1087,-1384,1
15976,-4272,-4004,-944,9515,-1330,1
13360,-1856,-9888,-944,210,-3296,1
16608,2324,-2240,-928,-200,-2254,1
16752,8648,-8820,-912,-16129,-10422,1
14320,1200,-10984,-912,-3452,-2081,1
16716,-472,-14872,-880,9682,-2340,1
6852,-2992,-5780,-912,-14549,-4618,1
-12532,7424,-3668,-896,-1108,-4229,0
-20404,4108,-4496,-992,-2275,-1784,0
-15756,1108,-1476,-1024,220,-1923,0
-16164,488,-1348,-1040,107,-1844,0
-16276,616,-692,-1008,-223,-1770,0
-17676,-456,1368,-992,-766,-611,0
-15580,3312,-3680,-976,-1058,-2243,0
-16200,-248,4640,-960,-47,-1482,0
-16676,1668,-2712,-976,-1148,-2185,0
-12488,1404,-6264,-960,1795,841,0
-16060,3860,-3956,-992,-44,-3230,0
-11264,2676,-8128,-944,2060,-2108,0
-17080,4828,-2028,-928,-7064,-4682,0
-11620,11572,120,-944,-2054,-2417,0
-12884,11992,-1556,-928,-5598,-2975,0
-10644,-2200,-17232,-944,6522,-4317,0
-17856,12616,-3204,-912,5408,-5154,0
-8492,10836,-8596,-912,-4608,-1823,0
-13748,8468,-1652,-928,-645,-2079,0
-19936,132,-5256,-928,-598,-9787,0
-13832,2920,-10080,-928,-9435,1661,0
-14944,6404,-3196,-944,3971,-486,0
-7144,13040,-6336,-928,-1832,-2446,0
-15224,6444,5212,-960,165,-398,0
-10308,8584,-11028,-928,1830,1870,0
-10372,-4928,-7688,-912,9779,-7472,0
-15796,-11172,-4520,-896,-15226,-5275,0
-2448,-14248,-12596,-912,11801,969,1
-1732,11572,-10916,-912,11275,4151,1
12340,-6280,-10168,-912,-81,251,1
8976,-10912,-7612,-912,-4218,-3239,1
3796,14496,4160,-912,-3630,-2530,1
21400,-812,380,-912,717,3278,1
9516,-12688,-3972,-896,-458,-3723,1
11728,-10316,-2500,-928,76,-5313,1
5328,-14304,-3172,-880,-2176,-2160,1
11876,-12548,-392,-912,-1978,-4193,1
10772,-10324,980,-896,2301,-1243,1
-22876,-9948,9432,-912,733,4879,0
6344,-8276,15272,-848,-14540,-6889,1
16472,-4848,2080,-896,18246,-6668,1
-13668,6088,-12432,-864,-6652,-7,0
11404,5308,-10700,-2064,-511,-2134,1
12380,4156,-10224,-2096,685,-1199,1
12436,3704,-10712,-2080,627,-1515,1
13948,3976,-9172,-2064,-184,-1927,1
-8932,-4064,-13568,-2096,-24311,519,0
2016,-6632,-13952,-2032,27256,-10357,1
-6232,-9108,-12460,-2032,-145,-1735,1
-6044,-14632,-14380,-2032,-1051,-3732,1
-2572,-7424,-13316,-2032,8024,-11329,1
-14720,-15660,1412,-1952,-12623,5895,0
-8692,-17108,-1676,-1984,10668,-59,0
4864,-6244,-10352,-1968,-2696,-7431,1
20364,-10244,-11868,-1888,-32768,7961,1
7524,-12516,-632,-1936,7728,-1906,1
13992,11676,-9544,-1920,7490,-8502,1
-13808,-2424,92,-1888,-2968,5567,0
13948,-2740,-6728,-1904,20027,-1398,1
2732,-10580,6000,-1888,11611,-16857,1
20848,6808,-4848,-1920,32767,-3301,1
14832,-8512,-9936,-1888,-32768,719,1
-12056,-11248,2252,-1904,15638,-21288,0
-12852,2504,-1372,-1872,5140,-6015,0
-1064,-3556,-12476,-1840,23621,-32768,1
3472,-5332,5664,-1856,-28900,21498,1
2832,-4424,-1412,-1856,-32768,-3258,1
17372,1600,-7044,-1808,23754,1919,1
-12440,10292,-11064,-1840,11071,11959,0
-10488,-7536,-2676,-1840,8603,-3687,0
29628,-15308,-25892,-1840,32767,5639,1
-12204,3712,6972,-1792,6301,961,0
9256,-8212,-14500,-1808,-32768,-2070,1
4792,-20464,-16788,-1808,-4066,1534,1
5900,-8040,-14400,-1792,-32768,-12026,1
15424,9192,-32768,-1792,32767,30795,1
3456,7792,-26040,-1808,32767,32767,1
9104,17296,-17012,-1760,-32768,-26676,1
3224,14436,-25616,-1776,-32768,-32768,1
5100,440,-10684,-1808,-31397,-26341,1
900,22276,-19096,-1776,-32768,-32768,1
148,5160,-14668,-1808,-1576,-12364,1
12400,-11800,-11152,-1776,-5628,-4362,1
3596,-12340,-5268,-1808,-26714,-8831,1
4784,5292,-9832,-1808,-15492,-13994,1
13840,-2424,-7840,-1792,-2247,7320,1
9716,-10276,-19240,-1760,32767,-5770,1
-14296,-7892,-2516,-1808,6730,15275,0
-17512,-3836,-4008,-1808,32767,24053,0
8992,22748,-32768,-1808,-32768,-32768,1
-1404,25312,-604,-1808,23013,32767,1
3612,17296,-1720,-1792,32767,5791,1
12604,-11168,-10356,-1808,16509,-840,1
15260,-1060,-4872,-1808,6735,-1843,1
13328,-4312,-4280,-1808,-6907,-375,1
-1448,10396,8424,-1840,-2259,-1156,0
5304,10548,-11136,-1824,-954,-273,1
2548,10180,-14368,-1808,1271,-1933,1
2584,11568,-10312,-1824,-859,-2242,1
-116,14512,-8100,-1808,-1123,-1925,1
13476,-3736,336,-1840,-17894,-946,1
12380,6204,-5284,-1856,-2647,-2815,1
