ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
1.66525E+12,"10/08/2022, 23:36:50",10/8/2022,-1,-1,-1,-1,-1,-1,23:36:50,CHL009,1
