Typical c1,Typical c2,Typical c3,Typical c4,Atypical c1,Atypical c2
-4.348854962,-3.929007634,-2.623664122,-4.852671756,-1.684732824,-4.325954198
-5.325954198,-3.364122137,-4.219083969,-3.49389313,-2.56259542,-3.944274809
-3.646564885,-2.860305344,-4.119847328,-3.669465649,-24.50152672,74.94122137
-4.470992366,-4.219083969,-3.539694656,-3.012977099,-40.5778626,20.37633588
-5.715267176,-3.440458015,-2.822137405,-5.570229008,249.429771,115.8496183
-3.982442748,-3.661832061,-3.272519084,-4.577862595,176.5061069,-105.8221374
-3.913740458,-4.012977099,-1.188549618,-3.42519084,-12.62366412,209.429771
-31.73053435,-30.18854962,5.009923664,-1.97480916,-2.669465649,-198.0129771
10.81908397,-4.845038168,-34.80687023,-27.82977099,13.75038168,51.52900763
-16.35648855,-44.18091603,48.4221374,-25.10458015,40.52900763,-40.00534351
-30.11221374,-21.43282443,55.47557252,-13.79160305,249.429771,10.59770992
22.45267176,-4.295419847,-2.967175573,-18.95954198,249.429771,206.1778626
-33.55496183,-11.68473282,-6.440458015,27.91832061,2.71221374,-200.8374046
-4.661832061,-3.990076336,-4.058778626,-5.913740458,-5.058778626,209.429771
-4.761068702,-2.90610687,-3.539694656,-3.929007634,-4.051145038,-26.3870229
-1.539694656,-3.150381679,-2.470992366,-3.967175573,-4.219083969,18.80381679
-3.593129771,-1.341221374,-6.867938931,-3.761068702,-250.8374046,209.429771
-2.875572519,-1.150381679,,-0.417557252,249.429771,-53.6389313
-8.936641221,,,-3.822137405,10.51374046,-200.8374046
-4.394656489,,,-4.684732824,249.429771,-200.8374046
-4.417557252,,,,-104.7610687,209.429771
-3.677099237,,,,-189.959542,-200.8374046
-1.066412214,,,,-106.089313,-196.1885496
-3.577862595,,,,-250.8374046,-200.8374046
-4.684732824,,,,157.7885496,13.58244275
-2.936641221,,,,-110.8221374,47.12442748
-3.570229008,,,,-43.57022901,12.80381679
-3.310687023,,,,14.09389313,-28.29541985
0.780916031,,,,9.620610687,
,,,,37.94885496,
