Angular Velocity (rad/s),Child category,Sinhala letters
-2.448091603,Typical  ,ta
-3.730534351,Typical  ,ta
-4.264885496,Typical  ,ta
-4.783969466,Typical  ,ta
-2.654198473,Typical  ,ta
14.12442748,Typical  ,ta
142.5061069,Typical  ,ta
-25.9519084,Typical  ,ta
1.95648855,Typical  ,ta
18.83435115,Typical  ,ta
4.246564885,Typical  ,ta
-3.883206107,Typical  ,ta
-4.593129771,Typical  ,ta
-3.669465649,Typical  ,ta
-3.806870229,Typical  ,ta
-4.04351145,Typical  ,ta
-4.051145038,Typical  ,ta
-2.97480916,Typical  ,ta
-4.249618321,Typical  ,ta
-6.028244275,Typical  ,ta
-13.87557252,Typical  ,ta
-3.394656489,Typical  ,ta
12.51374046,Typical  ,ta
-3.066412214,Typical  ,ta
-1.730534351,Typical  ,ta
-2.272519084,Typical  ,ta
-3.249618321,Typical  ,ta
-5.63129771,Typical  ,ta
-2.669465649,Typical  ,ta
-2.990076336,Typical  ,ta
-6.616030534,Typical  ,ta
-5.219083969,Typical  ,ta
-3.730534351,Typical  ,ta
-3.554961832,Typical  ,ta
-4.28778626,Typical  ,ta
-43.5778626,Typical  ,ta
24.91068702,Typical  ,ta
-19.70763359,Typical  ,ta
16.6129771,Typical  ,ta
13.34580153,Typical  ,ta
-8.593129771,Typical  ,ta
-62.0129771,Typical  ,ta
-4.409923664,Typical  ,ta
-3.49389313,Typical  ,ta
-1.49389313,Typical  ,ta
-4.738167939,Typical  ,ta
-4.012977099,Typical  ,ta
-3.799236641,Typical  ,ta
-3.554961832,Typical  ,ta
-4.684732824,Typical  ,ta
-2.814503817,Typical  ,ta
-3.119847328,Typical  ,ta
-4.448091603,Typical  ,ta
-3.76870229,Typical  ,ta
-1.387022901,Typical  ,ta
-9.241984733,Typical  ,ta
9.780916031,Typical  ,ta
14.02519084,Typical  ,ta
-4.188549618,Typical  ,ta
-15.42519084,Typical  ,ta
-26.46335878,Typical  ,ta
-48.44045802,Typical  ,ta
-13.29541985,Typical  ,ta
1.338167939,Typical  ,ta
-16.18091603,Typical  ,ta
3.681679389,Typical  ,ta
5.216030534,Typical  ,ta
-5.325954198,Typical  ,ta
-4.646564885,Typical  ,ta
-4.776335878,Typical  ,ta
-2.829770992,Typical  ,ta
-4.638931298,Typical  ,ta
-4.608396947,Typical  ,ta
-1.707633588,Typical  ,ta
-4.241984733,Typical  ,ta
-5.012977099,Typical  ,ta
-2.97480916,Typical  ,ta
-4.081679389,Typical  ,ta
-4.951908397,Typical  ,ta
-3.417557252,Typical  ,ta
-17.87557252,Typical  ,ta
7.009923664,Typical  ,ta
-0.203816794,Typical  ,ta
-23.40229008,Typical  ,ta
1.399236641,Typical  ,ta
4.383969466,Typical  ,ta
-22.3870229,Typical  ,ta
-8.898473282,Typical  ,ta
3.964122137,Typical  ,ta
21.07862595,Typical  ,ta
13.58244275,Typical  ,ta
-7.486259542,Typical  ,ta
-3.379389313,Typical  ,ta
-5.83740458,Typical  ,ta
-3.967175573,Typical  ,ta
-4.860305344,Typical  ,ta
-3.325954198,Typical  ,ta
-6.066412214,Typical  ,ta
-3.516793893,Typical  ,ta
-5.005343511,Typical  ,ta
-3.539694656,Typical  ,ta
-4.486259542,Typical  ,ta
18.57480916,Typical  ,ta
-4.020610687,Typical  ,ta
-9.997709924,Atypical  ,ta
-2.409923664,Atypical  ,ta
-4.158015267,Atypical  ,ta
-1.745801527,Atypical  ,ta
-3.539694656,Atypical  ,ta
-48.47099237,Atypical  ,ta
-246.5549618,Atypical  ,ta
-189.9824427,Atypical  ,ta
123.9412214,Atypical  ,ta
-250.8374046,Atypical  ,ta
249.429771,Atypical  ,ta
-227.9977099,Atypical  ,ta
31.91068702,Atypical  ,ta
-250.8374046,Atypical  ,ta
100.5824427,Atypical  ,ta
82.56717557,Atypical  ,ta
80.63587786,Atypical  ,ta
-10.83740458,Atypical  ,ta
-186.4557252,Atypical  ,ta
2.582442748,Atypical  ,ta
-143.4099237,Atypical  ,ta
4.635877863,Atypical  ,ta
-3.295419847,Atypical  ,ta
-4.570229008,Atypical  ,ta
-3.783969466,Atypical  ,ta
-3.081679389,Typical  ,la
-4.005343511,Typical  ,la
-3.638931298,Typical  ,la
14.83435115,Typical  ,la
4.635877863,Typical  ,la
-33.40992366,Typical  ,la
-23.70763359,Typical  ,la
2.002290076,Typical  ,la
108.4068702,Typical  ,la
-4.83740458,Typical  ,la
-3.898473282,Typical  ,la
-0.272519084,Typical  ,la
-21.11221374,Typical  ,la
-1.967175573,Typical  ,la
0.009923664,Typical  ,la
6.040458015,Typical  ,la
-2.402290076,Typical  ,la
-4.379389313,Typical  ,la
-3.738167939,Typical  ,la
-1.463358779,Typical  ,la
-4.387022901,Typical  ,la
-4.501526718,Typical  ,la
-2.860305344,Typical  ,la
-3.883206107,Typical  ,la
-5.135114504,Typical  ,la
-5.898473282,Typical  ,la
-3.501526718,Typical  ,la
-4.020610687,Typical  ,la
-4.249618321,Typical  ,la
-3.753435115,Typical  ,la
-3.585496183,Typical  ,la
-2.967175573,Typical  ,la
-4.56259542,Typical  ,la
-4.226717557,Typical  ,la
-7.11221374,Typical  ,la
-11.59312977,Typical  ,la
0.16259542,Typical  ,la
-4.646564885,Typical  ,la
-9.035877863,Typical  ,la
23.07099237,Typical  ,la
15.77328244,Typical  ,la
-28.48625954,Typical  ,la
-20.56259542,Typical  ,la
-4.318320611,Typical  ,la
-1.921374046,Typical  ,la
-3.913740458,Typical  ,la
-4.516793893,Typical  ,la
-5.203816794,Typical  ,la
0.475572519,Typical  ,la
-3.83740458,Typical  ,la
-3.49389313,Typical  ,la
-4.348854962,Typical  ,la
0.651145038,Typical  ,la
-6.295419847,Typical  ,la
-2.310687023,Typical  ,la
-3.463358779,Typical  ,la
-2.936641221,Typical  ,la
-3.791603053,Typical  ,la
5.475572519,Typical  ,la
-12.62366412,Typical  ,la
11.00992366,Typical  ,la
-12.0129771,Typical  ,la
-24.92900763,Typical  ,la
9.139694656,Typical  ,la
40.53664122,Typical  ,la
-3.547328244,Typical  ,la
-7.478625954,Typical  ,la
-6.012977099,Typical  ,la
-3.448091603,Typical  ,la
-2.593129771,Typical  ,la
-4.303053435,Typical  ,la
-3.967175573,Typical  ,la
-3.814503817,Typical  ,la
-4.501526718,Typical  ,la
-4.165648855,Typical  ,la
-3.150381679,Typical  ,la
-5.226717557,Typical  ,la
-7.005343511,Typical  ,la
-3.402290076,Typical  ,la
-3.684732824,Typical  ,la
-4.272519084,Typical  ,la
-4.951908397,Typical  ,la
-4.990076336,Typical  ,la
-6.616030534,Typical  ,la
-4.310687023,Typical  ,la
-4.776335878,Typical  ,la
-4.012977099,Typical  ,la
-2.577862595,Typical  ,la
81.93358779,Typical  ,la
-21.67709924,Typical  ,la
-25.43282443,Typical  ,la
52.96412214,Typical  ,la
20.55954198,Typical  ,la
50.51374046,Typical  ,la
-16.62366412,Typical  ,la
-22.66946565,Typical  ,la
26.69694656,Typical  ,la
29.9870229,Typical  ,la
14.07099237,Typical  ,la
-5.04351145,Typical  ,la
-3.600763359,Typical  ,la
-3.516793893,Typical  ,la
-11.09694656,Typical  ,la
-4.241984733,Typical  ,la
2.567175573,Typical  ,la
-1.875572519,Typical  ,la
