Angular Velocity (rad/s),Child category,English letters
-8.020610687,Typical  ,F
-9.203816794,Typical  ,F
-20.04351145,Typical  ,F
-22.48625954,Typical  ,F
9.483206107,Typical  ,F
1.376335878,Typical  ,F
0.95648855,Typical  ,F
45.87251908,Typical  ,F
-3.730534351,Typical  ,F
-4.280152672,Typical  ,F
-83.74580153,Typical  ,F
-3.35648855,Typical  ,F
-4.867938931,Typical  ,F
-3.684732824,Typical  ,F
-5.020610687,Typical  ,F
-3.49389313,Typical  ,F
-3.371755725,Typical  ,F
-2.898473282,Typical  ,F
-3.448091603,Typical  ,F
-3.501526718,Typical  ,F
-4.806870229,Typical  ,F
-0.180916031,Typical  ,F
-4.364122137,Typical  ,F
-4.417557252,Typical  ,F
-3.654198473,Typical  ,F
-4.280152672,Typical  ,F
-3.753435115,Typical  ,F
-3.440458015,Typical  ,F
-3.898473282,Typical  ,F
-4.364122137,Typical  ,F
-2.42519084,Typical  ,F
-0.364122137,Typical  ,F
-10.73053435,Typical  ,F
-14.98244275,Typical  ,F
-22.02061069,Typical  ,F
-3.402290076,Typical  ,F
10.9870229,Typical  ,F
-9.165648855,Typical  ,F
-5.020610687,Typical  ,F
-4.318320611,Typical  ,F
-4.379389313,Typical  ,F
-4.257251908,Typical  ,F
-3.669465649,Typical  ,F
-4.875572519,Typical  ,F
-4.226717557,Typical  ,F
-3.539694656,Typical  ,F
-4.188549618,Typical  ,F
-4.97480916,Typical  ,F
-4.463358779,Typical  ,F
-6.241984733,Typical  ,F
-6.104580153,Typical  ,F
-6.089312977,Typical  ,F
-4.203816794,Typical  ,F
-2.524427481,Typical  ,F
-12.73816794,Typical  ,F
1.689312977,Typical  ,F
-21.29541985,Typical  ,F
-0.669465649,Typical  ,F
-1.76870229,Typical  ,F
-22.29541985,Typical  ,F
-1.104580153,Typical  ,F
-22.11221374,Typical  ,F
-0.600763359,Typical  ,F
-5.63129771,Typical  ,F
-2.799236641,Typical  ,F
-3.325954198,Typical  ,F
-3.860305344,Typical  ,F
-3.524427481,Typical  ,F
-4.677099237,Typical  ,F
-3.936641221,Typical  ,F
-4.409923664,Typical  ,F
4.009923664,Typical  ,F
-5.051145038,Typical  ,F
-4.997709924,Typical  ,F
-5.532061069,Typical  ,F
-3.066412214,Typical  ,F
-5.402290076,Typical  ,F
-3.409923664,Typical  ,F
106.7045802,Typical  ,F
-18.86793893,Typical  ,F
-5.135114504,Typical  ,F
-65.86030534,Typical  ,F
3.50610687,Typical  ,F
0.361068702,Typical  ,F
-5.180916031,Typical  ,F
-4.020610687,Typical  ,F
-2.692366412,Typical  ,F
-2.585496183,Typical  ,F
-5.142748092,Typical  ,F
-0.997709924,Typical  ,F
-3.936641221,Typical  ,F
-4.219083969,Typical  ,F
-2.97480916,Typical  ,F
-1.394656489,Typical  ,F
-5.524427481,Atypical  ,F
-2.165648855,Atypical  ,F
-3.776335878,Atypical  ,F
-3.654198473,Atypical  ,F
-4.440458015,Atypical  ,F
-4.325954198,Atypical  ,F
-114.0053435,Atypical  ,F
-4.890839695,Atypical  ,F
-9.97480916,Atypical  ,F
249.429771,Atypical  ,F
-250.8374046,Atypical  ,F
-137.5244275,Atypical  ,F
-1.341221374,Atypical  ,F
-8.738167939,Atypical  ,F
114.3458015,Atypical  ,F
249.429771,Atypical  ,F
-250.8374046,Atypical  ,F
-250.8374046,Atypical  ,F
-114.8679389,Atypical  ,F
-238.2343511,Atypical  ,F
-10.35648855,Atypical  ,F
-3.455725191,Atypical  ,F
-3.745801527,Atypical  ,F
-1.394656489,Atypical  ,F
-4.303053435,Typical  ,E
-3.776335878,Typical  ,E
-2.967175573,Typical  ,E
-6.97480916,Typical  ,E
-1.761068702,Typical  ,E
-2.56259542,Typical  ,E
5.170229008,Typical  ,E
-20.86030534,Typical  ,E
28.04045802,Typical  ,E
-0.745801527,Typical  ,E
48.49083969,Typical  ,E
-16.0740458,Typical  ,E
-5.28778626,Typical  ,E
-4.11221374,Typical  ,E
2.414503817,Typical  ,E
-4.119847328,Typical  ,E
-4.333587786,Typical  ,E
-3.318320611,Typical  ,E
-3.822137405,Typical  ,E
-4.7,Typical  ,E
-5.509160305,Typical  ,E
-0.692366412,Typical  ,E
-2.654198473,Typical  ,E
-3.608396947,Typical  ,E
-3.28778626,Typical  ,E
-3.7,Typical  ,E
-3.440458015,Typical  ,E
-5.005343511,Typical  ,E
-8.432824427,Typical  ,E
-7.058778626,Typical  ,E
2.941221374,Typical  ,E
-4.867938931,Typical  ,E
-5.440458015,Typical  ,E
-4.074045802,Typical  ,E
-2.226717557,Typical  ,E
-3.318320611,Typical  ,E
-0.089312977,Typical  ,E
-5.852671756,Typical  ,E
-1.524427481,Typical  ,E
-2.119847328,Typical  ,E
-11.02824427,Typical  ,E
-22.33358779,Typical  ,E
-14.94427481,Typical  ,E
-36.78396947,Typical  ,E
-25.95954198,Typical  ,E
-19.33358779,Typical  ,E
-11.24961832,Typical  ,E
24.1778626,Typical  ,E
-2.249618321,Typical  ,E
-4.241984733,Typical  ,E
-4.188549618,Typical  ,E
-3.570229008,Typical  ,E
-4.402290076,Typical  ,E
-4.56259542,Typical  ,E
-4.173282443,Typical  ,E
-4.203816794,Typical  ,E
-2.463358779,Typical  ,E
-3.463358779,Typical  ,E
-4.150381679,Typical  ,E
-3.997709924,Typical  ,E
-8.539694656,Typical  ,E
-2.97480916,Typical  ,E
-4.730534351,Typical  ,E
-2.394656489,Typical  ,E
-3.845038168,Typical  ,E
-1.783969466,Typical  ,E
-4.188549618,Typical  ,E
-3.799236641,Typical  ,E
-6.051145038,Typical  ,E
-4.646564885,Typical  ,E
