ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1665812940171,"10/15/2022, 11:15:56",10/15/2022,-518,-180,-2224,-15076,3056,-4092,11:15:56,CHL028,0
1665812942231,"10/15/2022, 11:15:56",10/15/2022,-344,-332,-2208,-15016,3068,-4104,11:15:56,CHL028,0
1665812944262,"10/15/2022, 11:15:56",10/15/2022,-396,-254,-2192,-15120,2340,-3652,11:15:56,CHL028,0
1665812946311,"10/15/2022, 11:15:56",10/15/2022,139,67,-2192,-15432,2784,-3212,11:15:56,CHL028,0
1665812948362,"10/15/2022, 11:15:56",10/15/2022,-10966,-13664,-2176,-14324,3300,-5868,11:15:56,CHL028,0
1665812950682,"10/15/2022, 11:15:56",10/15/2022,-10254,-9843,-2144,-10820,11248,-540,11:15:56,CHL028,0
1665812952869,"10/15/2022, 11:15:56",10/15/2022,-5613,-3457,-2192,-11596,6844,-4012,11:15:56,CHL028,0
1665812954822,"10/15/2022, 11:15:56",10/15/2022,-3489,13453,-2160,-9028,9232,-4696,11:15:56,CHL028,0
1665812956942,"10/15/2022, 11:15:56",10/15/2022,-4696,-955,-2176,-12888,9276,-4464,11:15:56,CHL028,0
1665812958993,"10/15/2022, 11:15:56",10/15/2022,7667,-8777,-2144,-9916,9992,-2276,11:15:56,CHL028,0
1665812961151,"10/15/2022, 11:15:56",10/15/2022,-8542,-6288,-2176,-15832,8432,-1380,11:15:56,CHL028,0
1665812963382,"10/15/2022, 11:15:56",10/15/2022,12645,-12630,-2160,-14364,4232,-408,11:15:56,CHL028,0
1665812965391,"10/15/2022, 11:15:56",10/15/2022,9611,7521,-2192,-10004,11920,-2564,11:15:56,CHL028,0
1665812967481,"10/15/2022, 11:15:56",10/15/2022,-11645,16051,-2112,-13648,6624,100,11:15:56,CHL028,0
1665812969471,"10/15/2022, 11:15:56",10/15/2022,-7241,-10013,-2144,-15032,6544,-1408,11:15:56,CHL028,0
1665812971603,"10/15/2022, 11:15:56",10/15/2022,16193,3797,-2112,-8736,12924,-5328,11:15:56,CHL028,0
1665812973671,"10/15/2022, 11:15:56",10/15/2022,-8423,-288,-2128,-12140,8872,-2564,11:15:56,CHL028,0
1665812975782,"10/15/2022, 11:15:56",10/15/2022,2212,-1846,-2128,-7016,13252,-3184,11:15:56,CHL028,0
1665812977752,"10/15/2022, 11:15:56",10/15/2022,4505,-6185,-2112,-11300,11776,-2860,11:15:56,CHL028,0
1665812979851,"10/15/2022, 11:15:56",10/15/2022,-10637,-13324,-2112,-12828,7096,-3936,11:15:56,CHL028,0
1665812981961,"10/15/2022, 11:15:56",10/15/2022,7116,-12677,-2128,-11664,14404,-1200,11:15:56,CHL028,0
1665812983981,"10/15/2022, 11:15:56",10/15/2022,2976,273,-2128,-14584,10620,-2072,11:15:56,CHL028,0
1665812986086,"10/15/2022, 11:15:56",10/15/2022,3459,-7172,-2096,-15972,7272,1212,11:15:56,CHL028,0
1665812988100,"10/15/2022, 11:15:56",10/15/2022,-5760,12859,-2080,-10828,9228,-3672,11:15:56,CHL028,0
1665812990231,"10/15/2022, 11:15:56",10/15/2022,774,2343,-2064,-13808,7236,1744,11:15:56,CHL028,0
1665812992251,"10/15/2022, 11:15:56",10/15/2022,8755,147,-2080,-12812,10264,3288,11:15:56,CHL028,0
1665812994448,"10/15/2022, 11:15:56",10/15/2022,1365,-14201,-2080,-10892,10520,-1164,11:15:56,CHL028,0
1665812996490,"10/15/2022, 11:15:56",10/15/2022,-116,-1047,-2096,-15192,-536,4248,11:15:56,CHL028,0
1665812998641,"10/15/2022, 11:15:56",10/15/2022,405,-2295,-2064,-15368,-132,3924,11:15:56,CHL028,0
1665813000792,"10/15/2022, 11:15:56",10/15/2022,-4636,6282,-2080,-12840,5380,-1408,11:15:56,CHL028,0
1665813002891,"10/15/2022, 11:15:56",10/15/2022,-483,-60,-2032,-13836,7296,-1472,11:15:56,CHL028,0
1665813004881,"10/15/2022, 11:15:56",10/15/2022,-433,-49,-2048,-14116,6880,-1624,11:15:56,CHL028,0
1665813006930,"10/15/2022, 11:15:56",10/15/2022,-573,-109,-2048,-14368,6752,-1520,11:15:56,CHL028,0
