ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1659510000000,"08/03/2022, 11:06:42",8/3/2022,-483.6082474,-1501.618557,-1806.185567,1938.958763,1923.051546,-1862.762887,11:06:42,CH055,12
1658340000000,"07/20/2022, 22:09:44",7/20/2022,2900.906977,411.3255814,-1788.27907,11722.97674,-2761.488372,8056.930233,22:09:44,CH027,2
1657850000000,"07/15/2022, 06:33:10",7/15/2022,-307.0507246,-944.8043478,-980.0144928,6129.623188,-2602.028986,-4578.724638,6:33:10,CH021,2
1655190000000,"06/14/2022, 12:13:35",6/14/2022,-397.1265823,2216.588608,-406.7848101,3245.867089,1457.620253,-6532.025316,12:13:35,CH017,1
1659510000000,"08/03/2022, 11:31:12",8/3/2022,1550.829787,-4185.765957,-1009.702128,5778.297872,3165.617021,-9140.085106,11:31:12,CH001,3
1658340000000,"07/20/2022, 22:09:44",7/20/2022,-213.3846154,-401.5384615,-1198.769231,5494,8788.153846,-12963.84615,22:09:44,CH025,2
1659250000000,"07/31/2022, 12:02:56",7/31/2022,-168.0069444,-259.7291667,-623.2222222,10743.13889,4093.333333,-10140.83333,12:02:56,CH032,7
1657850000000,"07/15/2022, 06:33:10",7/15/2022,-668.1052632,-488.7368421,-2165.052632,3582.947368,-3966.105263,-11341.47368,6:33:10,CH022,2
1659260000000,"07/31/2022, 14:31:23",7/31/2022,-626.875,-5985.71875,-1052,-147,-6497.875,3277.125,14:31:23,CH044,11
1659260000000,"07/31/2022, 14:34:45",7/31/2022,2900.906977,411.3255814,-1788.27907,11722.97674,-2761.488372,8056.930233,14:34:45,CH041,10
1657840000000,"07/15/2022, 05:31:26",7/15/2022,-307.0507246,-944.8043478,-980.0144928,6129.623188,-2602.028986,-4578.724638,5:31:26,CH011,2
1659250000000,"07/31/2022, 12:02:56",7/31/2022,-397.1265823,2216.588608,-406.7848101,3245.867089,1457.620253,-6532.025316,12:02:56,CH034,7
1659260000000,"07/31/2022, 15:08:39",7/31/2022,1550.829787,-4185.765957,-1009.702128,5778.297872,3165.617021,-9140.085106,15:08:39,CH053,12
1658340000000,"07/20/2022, 22:09:44",7/20/2022,-213.3846154,-401.5384615,-1198.769231,5494,8788.153846,-12963.84615,22:09:44,CH028,2
1659250000000,"07/31/2022, 12:02:56",7/31/2022,-168.0069444,-259.7291667,-623.2222222,10743.13889,4093.333333,-10140.83333,12:02:56,CH033,7
1659260000000,"07/31/2022, 15:04:37",7/31/2022,414.1020408,-1199.469388,-1803.428571,-229.2244898,-1458.122449,-10997.14286,15:04:37,CH050,11
1659250000000,"07/31/2022, 12:02:56",7/31/2022,2900.906977,411.3255814,-1788.27907,11722.97674,-2761.488372,8056.930233,12:02:56,CH031,6
1657850000000,"07/15/2022, 06:33:10",7/15/2022,-307.0507246,-944.8043478,-980.0144928,6129.623188,-2602.028986,-4578.724638,6:33:10,CH020,2
1655190000000,"06/14/2022, 12:46:09",6/14/2022,-397.1265823,2216.588608,-406.7848101,3245.867089,1457.620253,-6532.025316,12:46:09,CH010,2
1659260000000,"07/31/2022, 14:31:23",7/31/2022,1550.829787,-4185.765957,-1009.702128,5778.297872,3165.617021,-9140.085106,14:31:23,CH040,11
1659260000000,"07/31/2022, 15:04:37",7/31/2022,-213.3846154,-401.5384615,-1198.769231,5494,8788.153846,-12963.84615,15:04:37,CH051,10
1658330000000,"07/20/2022, 21:12:30",7/20/2022,-168.0069444,-259.7291667,-623.2222222,10743.13889,4093.333333,-10140.83333,21:12:30,CH024,2
1661660000000,"08/28/2022, 09:20:29",8/28/2022,-173.8072289,-59.94578313,-788.3373494,10515.39759,137.0722892,1009.951807,9:20:29,CH057,6
1658340000000,"07/20/2022, 22:09:44",7/20/2022,-436.9677419,-166.3870968,-1541.16129,6787.483871,9533.548387,-11412,22:09:44,CH026,2
1659250000000,"07/31/2022, 11:43:33",7/31/2022,141.1308411,-76.02803738,-1521.64486,10254.31776,7606.242991,-458.317757,11:43:33,CH029,2
1657940000000,"07/16/2022, 09:43:52",7/16/2022,-684.5909091,-417.0909091,-858.1818182,-2445.454545,140.5454545,-7953.454545,9:43:52,CH023,2
1659250000000,"07/31/2022, 12:02:56",7/31/2022,-292.5147929,-525.6863905,-938.035503,10072.14201,4559.668639,-11023.45562,12:02:56,CH030,7
1659260000000,"07/31/2022, 15:08:39",44773,4546.711864,-947.3050847,-893.2881356,10501.08475,5927.254237,-1169.152542,0.631006944,CH054,11
